銘柄コード,銘柄名称,銘柄略称
2842,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００インバース,ｉＦナス１００ベア
2843,上場インデックスファンド豪州国債（為替ヘッジあり）,上場豪債ヘッジあり
2844,上場インデックスファンド豪州国債（為替ヘッジなし）,上場豪債ヘッジなし
2845,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジあり）連動型上場投信,ナスダックヘッジ有
2846,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジあり）連動型上場投信,ダウヘッジ有
2847,グローバルＸ　新成長インフラ－日本株式　ＥＴＦ,ＧＸ成長インフラ日株
2848,グローバルＸ　ＭＳＣＩ　気候変動対応－日本株式　ＥＴＦ,ＧＸ気候変動日株
2849,グローバルＸ　Ｍｏｒｎｉｎｇｓｔａｒ　高配当　ＥＳＧ－日本株式　ＥＴＦ,ＧＸ高配当ＥＳＧ日株
2851,ｉシェアーズ　ＭＳＣＩ　ジャパンＳＲＩ　ＥＴＦ,ｉＳＭＳＣＩＪＳＲＩ
2852,ｉシェアーズ　グリーンＪリート　ＥＴＦ,ｉＳグリーンＪリート
2853,ｉシェアーズ　気候リスク調整世界国債　ＥＴＦ（除く日本・為替ヘッジあり）,ｉＳ気候外国債券ヘジ
2854,グローバルＸ　テック・トップ２０－日本株式　ＥＴＦ,ＧＸテック２０日株
2855,グローバルＸ　グリーン・Ｊ－ＲＥＩＴ　ＥＴＦ,ＧＸグリＪリート
2856,ｉシェアーズ　米国債３－７年　ＥＴＦ（為替ヘッジあり）,ｉＳ米国債三七ヘジ
2857,ｉシェアーズ　ドイツ国債　ＥＴＦ（為替ヘッジあり）,ｉＳドイツ国債ヘジ
2858,グローバルＸ　日経２２５　カバード・コール　ＥＴＦ（プレミアム再投資型）,ＧＸ日経カバコ
2859,ＮＥＸＴ　ＦＵＮＤＳ　ユーロ・ストックス５０指数（為替ヘッジあり）連動型上場投信,ＳＴＯＸＸヘッジ有
2860,ＮＥＸＴ　ＦＵＮＤＳ　ドイツ株式・ＤＡＸ（為替ヘッジあり）連動型上場投信,ＤＡＸヘッジ有
2861,上場インデックスファンドフランス国債（為替ヘッジなし）,上場フランス国債Ｈ無
2862,上場インデックスファンドフランス国債（為替ヘッジあり）,上場フランス国債Ｈ有
2863,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ米国株式・債券バランス保守型指数（為替ヘッジあり）連動型上場投信,米バラ保守ヘッジ有
2864,グローバルＸ　ロジスティクス・ＲＥＩＴ　ＥＴＦ,ＧＸロジリート
2865,グローバルＸ　ＮＡＳＤＡＱ１００・カバード・コール　ＥＴＦ,ＧＸＮＤＸカバコ
2866,グローバルＸ　米国優先証券　ＥＴＦ,ＧＸ優先証券
2867,グローバルＸ　自動運転＆ＥＶ　ＥＴＦ,ＧＸ自動ＥＶ
2868,グローバルＸ　Ｓ＆Ｐ５００・カバード・コール　ＥＴＦ,ＧＸＳＰＸカバコ
2869,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００レバレッジ,ｉＦナス１００ダブル
2870,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００ダブルインバース,ｉＦナス１００Ｗベア
2871,ニチレイ,ニチレイ
2872,セイヒョー,セイヒョー
2874,横浜冷凍,ヨコレイ
2875,東洋水産,東洋水産
2876,デルソーレ,デルソーレ
2877,日東ベスト,日東ベスト
2882,イートアンドホールディングス,イートアンドＨＤ
2883,大冷,大冷
2884,ヨシムラ・フード・ホールディングス,ヨシムラ・Ｆ・ＨＤ
2892,日本食品化工,日食化
2894,石井食品,石井食
2897,日清食品ホールディングス,日清食ＨＤ
2901,ウェルディッシュ,ウェルディッシュ
2903,シノブフーズ,シノブフーズ
2904,一正蒲鉾,一正蒲鉾
2907,あじかん,あじかん
2908,フジッコ,フジッコ
2910,ロック・フィールド,ロックフィルド
